Field,Career,GPA,Extracurricular_Activities,Internships,Projects,Leadership_Positions,Field_Specific_Courses,Research_Experience,Coding_Skills,Communication_Skills,Problem_Solving_Skills,Teamwork_Skills,Analytical_Skills,Presentation_Skills,Networking_Skills,Industry_Certifications,Overall_Skills,Performance_Level
Engineering,Urban Planner,3.530438534147387,5.0,0.0,2.0,0.0,3.0,1.0,4.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,Excellent
Chemistry,Art Director,4.018247221685561,1.0,2.0,0.0,0.0,8.0,1.0,3.0,4.0,0.0,3.0,0.0,3.0,0.0,1.0,1.8571428571428572,
Engineering,Chemist,4.636733223332204,1.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,1.0,2.0,
Physics,Manager,4.052692953534206,3.0,1.0,3.0,0.0,1.0,0.0,4.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,2.0,
Law,Education Administrator,4.834850008942559,0.0,2.0,4.0,0.0,0.0,0.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,0.0,3.4285714285714284,
Marketing,Accountant,4.029891529095423,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,4.0,3.0,1.0,2.0,4.0,1.0,2.2857142857142856,
Medicine,Cybersecurity Analyst,3.226644909827205,4.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,2.0,3.0,0.0,0.0,2.0,Good
Computer Science,Special Education Teacher,4.378898512867637,2.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,0.0,3.142857142857143,
Education,Civil Engineer,3.6712135301622952,3.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,1.0,1.2857142857142858,Excellent
Medicine,Artist,3.905219850365391,5.0,2.0,2.0,1.0,7.0,0.0,2.0,4.0,4.0,4.0,0.0,3.0,2.0,1.0,2.7142857142857144,Excellent
Business,Architect,3.983628858616102,0.0,2.0,1.0,1.0,5.0,1.0,2.0,4.0,1.0,3.0,0.0,0.0,4.0,1.0,2.0,Excellent
Education,Graphic Designer,4.831142370138503,5.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,4.0,2.0,4.0,0.0,2.0,0.0,2.0,
Engineering,Acoustics Specialist,2.519861098579108,4.0,2.0,3.0,1.0,4.0,1.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,0.0,2.2857142857142856,Average
Chemistry,Organic Chemist,3.4993573182286166,4.0,2.0,4.0,0.0,7.0,0.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,0.0,2.0,Good
Engineering,Interior Designer,3.051281363601992,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,1.4285714285714286,Good
Architecture,Game Developer,4.882464657587002,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,2.0,1.0,1.5714285714285714,
Chemistry,Music Teacher,2.849628835834241,0.0,2.0,3.0,1.0,0.0,0.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,0.0,2.7142857142857144,Average
Law,Market Research Analyst,3.325656325067502,0.0,2.0,3.0,0.0,7.0,0.0,2.0,0.0,4.0,3.0,1.0,3.0,0.0,1.0,1.8571428571428572,Good
Music,Conductor,2.861092300527823,5.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,4.0,3.0,1.0,1.0,2.2857142857142856,Average
Medicine,Chemical Engineer,4.189086124027632,6.0,2.0,2.0,0.0,4.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,2.2857142857142856,
Marketing,School Psychologist,4.670245899434831,4.0,0.0,4.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,2.0,1.0,1.1428571428571428,
Physics,Psychologist,4.045535068198723,1.0,0.0,2.0,1.0,6.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,1.2857142857142858,
Biology,Special Education Teacher,3.0815093503014723,7.0,0.0,0.0,1.0,6.0,0.0,4.0,3.0,0.0,2.0,1.0,1.0,3.0,1.0,2.0,Good
Computer Science,Surgeon,3.293037413815491,2.0,1.0,2.0,0.0,8.0,1.0,0.0,0.0,3.0,1.0,1.0,4.0,2.0,0.0,1.5714285714285714,Good
Finance,Digital Marketing Specialist,4.411688423234405,8.0,0.0,4.0,0.0,8.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,1.2857142857142858,
Chemistry,Forensic Psychologist,4.91524984804653,1.0,2.0,3.0,0.0,9.0,1.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,1.1428571428571428,
Architecture,Judge,4.597910696845415,1.0,1.0,4.0,1.0,8.0,0.0,1.0,0.0,2.0,3.0,4.0,3.0,2.0,1.0,2.142857142857143,
Biology,Analytical Chemist,2.878498258050343,6.0,2.0,1.0,0.0,3.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,1.0,1.2857142857142858,Average
Medicine,Illustrator,4.419582883962078,8.0,2.0,0.0,0.0,7.0,1.0,1.0,4.0,2.0,0.0,1.0,2.0,1.0,1.0,1.5714285714285714,
Music,Web Developer,3.6660943730625073,5.0,0.0,0.0,1.0,8.0,0.0,1.0,1.0,2.0,3.0,0.0,3.0,1.0,0.0,1.5714285714285714,Excellent
Computer Science,Art Therapist,2.5841469169994107,0.0,2.0,4.0,1.0,6.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0,2.0,Average
Chemistry,Counselor,3.409774458210828,7.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,Good
Chemistry,Nurse,4.997478345619685,2.0,0.0,4.0,0.0,5.0,1.0,0.0,0.0,2.0,3.0,1.0,4.0,0.0,0.0,1.4285714285714286,
Marketing,Chemical Engineer,3.2274262997873766,1.0,1.0,4.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,4.0,2.0,1.0,2.0,Good
Architecture,Marketing Manager,3.038927520900584,5.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,0.0,0.0,1.5714285714285714,Good
