Sr.No.,Course,Job profession,Student,Linguistic,Musical,Bodily_Kinesthetic,Logical_Mathematical,Spatial,Interpersonal,Intrapersonal,Naturalist,s/p,P1,P2,P3,P4,P5,P6,P7,P8,R_Realistic,I_Investigative,A_Artistic,S_Social,E_Enterprising,C_Conventional
1.0,,"Astronomer
",S1,11.0,5.0,12.0,16.0,17.0,11.0,18.0,19.0,s1,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,15.5,17.5,11.0,14.5,11.0,17.0
,,"Astronomer
",S2,12.0,6.0,12.0,16.0,16.0,11.0,18.0,19.0,s2,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,15.5,17.5,11.333333333333334,14.5,11.5,17.0
,,"Astronomer
",S3,13.0,7.0,12.0,16.0,15.0,11.0,18.0,19.0,s3,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,15.5,17.5,11.666666666666666,14.5,12.0,17.0
,,"Astronomer
",S4,14.0,8.0,12.0,16.0,19.0,11.0,18.0,19.0,s4,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,15.5,17.5,13.666666666666666,14.5,12.5,17.0
,,"Astronomer
",S5,13.0,9.0,12.0,16.0,20.0,11.0,19.0,19.0,s5,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,15.5,17.5,14.0,15.0,12.0,17.5
,,"Astronomer
",S6,12.0,8.0,12.0,16.0,17.0,11.0,19.0,19.0,s6,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,15.5,17.5,12.333333333333334,15.0,11.5,17.5
,,"Astronomer
",S7,11.0,7.0,12.0,16.0,16.0,11.0,19.0,19.0,s7,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,15.5,17.5,11.333333333333334,15.0,11.0,17.5
,,"Astronomer
",S8,14.0,6.0,12.0,16.0,15.0,11.0,19.0,19.0,s8,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,15.5,17.5,11.666666666666666,15.0,12.5,17.5
,,"Astronomer
",S9,11.0,5.0,12.0,16.0,19.0,11.0,19.0,19.0,s9,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,15.5,17.5,11.666666666666666,15.0,11.0,17.5
,,"Astronomer
",S10,12.0,5.0,13.0,16.0,20.0,12.0,19.0,19.0,s10,AVG,POOR,AVG,BEST,BEST,AVG,BEST,BEST,16.0,17.5,12.333333333333334,15.5,12.0,17.5
